BANG LUONG TONG HOP
-------------------------------------------------------------------------------------------------------------------------------------------------------
Ma NV   Ho Ten                   Luong CB          L.Lam Viec BT     L.Tang Ca      L.Ngay Le      Thuong         Phu Cap        Khau Tru          LUONG RONG          
-------------------------------------------------------------------------------------------------------------------------------------------------------
FT002   Le Thi B                 2.340.000         0                 0              0              0              79.200         245.700           2.173.500           
IT001   Tran Van C               1.170.000         1.170.000         0              0              0              32.000         0                 1.202.000           
IT002   Pham Thi D               1.170.000         1.170.000         0              0              0              170.400        122.850           1.217.550           
CT001   Le Hai Son               2.106.000         0                 0              0              0              23.200         0                 2.129.200           
CT002   Ngo Thi F                2.106.000         0                 0              0              0              82.400         0                 2.188.400           
FT003   Nguyen Viet Cuong        2.340.000         0                 0              0              0              0              245.700           2.094.300           
IT003   Tran Thi Thuy Tien       1.170.000         1.170.000         0              0              0              170.400        122.850           1.217.550           
FT004   Phan Thanh G             2.340.000         0                 0              0              0              32.000         245.700           2.126.300           
IT004   Vo Thi H                 1.170.000         1.170.000         0              0              0              82.400         0                 1.252.400           
CT003   Nguyen K                 2.106.000         0                 0              0              0              52.000         221.130           1.936.870           
FT005   Hoang Van L              2.340.000         0                 107.100        285.600        0              32.000         245.700           2.519.000           
IT005   Nguyen Anh M             1.170.000         1.170.000         0              0              0              170.400        0                 1.340.400           
FT006   Truong Quang P           2.340.000         0                 0              0              0              32.000         245.700           2.126.300           
IT006   Mai Ngoc Q               1.170.000         1.170.000         0              0              0              79.200         122.850           1.126.350           
CT004   Dang Van R               2.106.000         0                 0              0              0              52.000         221.130           1.936.870           
FT007   Tran Duc S               2.340.000         0                 0              0              0              60.000         0                 2.400.000           
IT007   Nguyen Thi T             1.170.000         1.170.000         0              0              0              82.400         0                 1.252.400           
FT008   Cuong                    2.340.000         0                 0              0              0              0              0                 2.340.000           
FT009   SSon                     2.340.000         0                 0              0              0              0              245.700           2.094.300           
IT008   Hai                      1.170.000         1.170.000         0              0              0              0              122.850           1.047.150           
CT005   Tien                     2.106.000         0                 0              0              0              0              221.130           1.884.870           
FT010   Cuong                    2.340.000         0                 0              0              0              0              245.700           2.094.300           
CT006   Minh Quang               2.106.000         0                 0              0              0              60.000         221.130           1.944.870           
CT007   Cuong                    2.106.000         0                 0              0              0              60.000         0                 2.166.000           
FT001   Cuong                    2.340.000         0                 0              0              0              0              245.700           2.094.300           
FT011   Thanh                    2.340.000         0                 0              0              0              79.200         0                 2.419.200           
FT012   Huy                      2.340.000         0                 0              0              0              0              0                 2.340.000           
FT013   Hai                      2.340.000         0                 0              0              0              0              0                 2.340.000           
CT008   My                       2.106.000         0                 0              0              0              0              0                 2.106.000           
IT009   Vui                      1.170.000         1.170.000         0              0              0              0              122.850           1.047.150           
CT009   Mai                      2.106.000         0                 0              0              0              0              221.130           1.884.870           
